id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000090,清华共识-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/qhgs.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/qhgs.htm,www.tsinghua.edu.cn,,2021-04-02,,2026-08-09T19:21:05+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000090_清华共识-清华大学.md,1046,27be5200193ab11c96584d5662f009d516ef9689812118f1f564d1aa574c1f78
THU000091,教工活动-清华大学,https://www.tsinghua.edu.cn/zjqh/xyshh/jghd.htm,https://www.tsinghua.edu.cn/zjqh/xyshh/jghd.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:06+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000091_教工活动-清华大学.md,1311,17956228291dfe5091791e32dd4ca31155d56dd19f7fbf2d0ce64e1c0286f860
THU000092,校园交通-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/xyjt.htm,https://www.tsinghua.edu.cn/zjqh/syxx/xyjt.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:08+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000092_校园交通-清华大学.md,975,3d5cdea289581e8a10156c624cbe173c0f187e4a0ac2bf90e45e8879264fe0c6
THU000093,周边交通-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/zbjt.htm,https://www.tsinghua.edu.cn/zjqh/syxx/zbjt.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:09+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000093_周边交通-清华大学.md,1185,a6a776316944038e9fe07966710478b3f0319a3eaf40f0b02422ff1b514a3d5f
THU000094,校园参观-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/xycg.htm,https://www.tsinghua.edu.cn/zjqh/syxx/xycg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:12+08:00,规章制度,public,public_web,public,knowledge/01_raw_public/THU000094_校园参观-清华大学.md,996,1f293d815a4ec831f02f11ad5dcb781b7f0e6d999c74ea640c901e12bcd79a9f
THU000095,服务信息-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/fwxx.htm,https://www.tsinghua.edu.cn/zjqh/syxx/fwxx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:12+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000095_服务信息-清华大学.md,1266,3ef4111b2d969ba111e39956c818ac86891d6c19927a5ab8319b346e91c6c13e
THU000096,宣传资源-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/xczy.htm,https://www.tsinghua.edu.cn/zjqh/syxx/xczy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:14+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000096_宣传资源-清华大学.md,813,74268a95136c1cf04eb0f553a1f6d38489655704a70066a045af54bfde76a5e2
THU000097,清华校历-清华大学,https://www.tsinghua.edu.cn/zjqh/syxx/qhxl.htm,https://www.tsinghua.edu.cn/zjqh/syxx/qhxl.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:16+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000097_清华校历-清华大学.md,717,a726c1cf501a29db08cc72b038dce2afb7d54e202263a28377d628d74131bb79
THU000098,校园地图-清华大学,https://www.tsinghua.edu.cn/zjqh/xyfg/xydt.htm,https://www.tsinghua.edu.cn/zjqh/xyfg/xydt.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:17+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000098_校园地图-清华大学.md,729,b65f6738b2e76a365a560e82fa999fc74d9b889d2a5cdf0134c7bca5d647a130
THU000099,校园景观-清华大学,https://www.tsinghua.edu.cn/zjqh/xyfg/xyjg.htm,https://www.tsinghua.edu.cn/zjqh/xyfg/xyjg.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:19+08:00,校园生活,public,public_web,public,knowledge/01_raw_public/THU000099_校园景观-清华大学.md,9960,4337d4e900495845f5ad1dc1410e14d594f156ea12795ee0bbb5c030c78feea6
